Id,SalePrice,Overall Qual,Total Bsmt SF,Gr Liv Area,Full Bath,TotRms AbvGrd,Garage Cars,Central Air,Electrical,Fireplaces,Neighborhood,topqual,price_per_squareft,rooms_per_sq_score,tophoods,good_elec,Heating QC_Fa,Heating QC_Gd,Heating QC_Po,Heating QC_TA,newness
109,130500,6,725.0,1479,2,6,2.0,1,SBrkr,0,Sawyer,0,88.23529411764706,5.5073619934827445,2,1,0,0,0,0,5
544,220000,7,913.0,2122,2,8,2.0,1,SBrkr,1,SawyerW,1,103.67577756833177,5.580672777494092,2,1,0,0,0,0,12
153,109000,5,1057.0,1057,1,5,1.0,1,SBrkr,0,NAmes,0,103.12204351939451,5.353752073436137,2,1,0,0,0,1,3
318,174000,5,384.0,1444,2,7,2.0,1,SBrkr,0,Timber,0,120.49861495844875,5.329262170397458,4,1,0,1,0,0,3
255,138500,6,676.0,1445,2,6,2.0,1,SBrkr,0,SawyerW,0,95.8477508650519,5.484105131318477,2,1,0,0,0,1,17
138,190000,6,1517.0,1888,2,6,2.0,1,SBrkr,1,NAmes,0,100.63559322033899,5.751513877477391,2,1,0,0,0,0,8
2827,140000,6,547.0,1072,2,5,2.0,1,SBrkr,0,Edwards,0,130.59701492537314,5.367843429196647,1,1,0,1,0,0,0
145,142000,5,1188.0,1188,1,6,2.0,1,SBrkr,0,NAmes,0,119.52861952861953,5.288267030694535,2,1,1,0,0,0,51
1942,112500,5,924.0,924,1,6,1.0,1,SBrkr,0,OldTown,0,121.75324675324676,5.0369526024136295,1,1,0,0,0,1,55
1956,135000,5,1040.0,2080,1,9,2.0,1,SBrkr,2,NAmes,0,64.90384615384616,5.442898595359145,2,1,0,0,0,1,38
1044,85400,6,483.0,987,1,4,1.0,1,SBrkr,0,BrDale,0,86.52482269503547,5.508375678313591,1,1,0,0,0,1,37
2752,183600,7,1208.0,1208,2,6,2.0,1,SBrkr,0,CollgCr,1,151.98675496688742,5.304961909266705,3,1,0,0,0,0,1
807,131000,5,0.0,2016,1,7,2.0,1,SBrkr,1,SawyerW,0,64.98015873015873,5.662960480135946,2,1,0,0,0,0,2
1177,200000,8,960.0,1607,2,7,2.0,1,SBrkr,0,Somerst,1,124.45550715619166,5.436214216682199,4,1,0,0,0,0,8
1480,193000,7,1351.0,1361,2,6,2.0,1,SBrkr,0,CollgCr,1,141.80749448934606,5.4242155334234115,3,1,0,0,0,0,1
324,173500,5,1430.0,1430,2,7,2.0,1,SBrkr,0,Mitchel,0,121.32867132867133,5.319519574198639,2,1,0,0,0,0,5
1311,98000,5,624.0,1344,1,7,3.0,0,SBrkr,0,OldTown,0,72.91666666666667,5.2574953720277815,1,1,1,0,0,0,58
770,139000,5,1121.0,1121,1,5,2.0,1,SBrkr,0,Sawyer,0,123.9964317573595,5.4125385106380595,2,1,0,0,0,1,46
2063,143500,6,660.0,1285,1,7,2.0,1,SBrkr,1,Sawyer,0,111.67315175097276,5.212603848274007,2,1,0,0,0,0,30
69,215200,7,756.0,1547,2,7,2.0,1,SBrkr,0,Somerst,1,139.10795087265674,5.3981627015177525,4,1,0,0,0,0,1
